pointId	source	point	listId	capture	playerAction	needsTwoMachines	needsScreenshot	needsDataBlock	mergeRule
player.downed-rescue-no-rebuild	ForgeMap\VALIDATION.md#353	倒地与救起是否不重建 PlayerAgent；Object.Destroy 延迟期间旧 agent 的状态	player-life	trace:player/Player.PlayerAgent.OnDespawn;trace:objects/Interact_Revive;state:players	被击倒再被救起	yes	no	no	
player.late-join-migration	ForgeMap\VALIDATION.md#353	迟加入与主机迁移时的玩家身份与状态	player-life	trace:net/SNetwork.SNet_SyncManager.*; state:players.*	中途加入并触发主机迁移（房主退出）	yes	no	no	
player.health-write-order	ForgeMap\evidence\player-health.json $.unverified[runtime-order]	量化后的血量是否真的落地、实机读回值在包往返后如何收敛	player-health	trace:damage/Dam_PlayerDamageBase.ReceiveAddHealth;net:SNetwork.SNet_Packet;state:players.health	主机给客机写血并读回	yes	no	no	
player.health-late-join	ForgeMap\evidence\player-health.json $.unverified[late-join-replay]	迟加入的客机如何接收 set-health 通道的写入（包是游戏自己的）	player-health	trace:damage/Dam_PlayerDamageBase.ReceiveAddHealth;net:SNetwork.SNet_Packet;state:players.health	写血后让客机中途加入	yes	no	no	
player.health-downed-machine	ForgeMap\evidence\player-health.json $.unverified[downed-machine]	对倒地玩家写血是否也会推动 locomotion 机器	player-health	trace:player/Player.PlayerLocomotion.ChangeState;state:players	对倒地玩家写血	yes	no	no	
player.healer-tools	ForgeMap\evidence\player-health.json $.unverified[healer-tools]	哪些原生治疗工具走 ReceiveAddHealth 而不是别的路径	player-health	trace:player/Dam_PlayerDamageBase.ReceiveAddHealth	用治疗工具救人	no	no	no	
player.m-alive-direct-write	ForgeMap\evidence\player-life-facts.json $.capabilities[4].unverified	是否有原生路径直接写 PlayerAgent.m_alive 绕过 setter	player-life	trace:player/Player.PlayerAgent.OnDespawn;state:players.alive	让玩家死亡并读回 m_alive	no	no	no	
player.teleport-paths	ForgeMap\evidence\player-life-facts.json $.capabilities[5].unverified	是否所有传送路径都走该方法（TeleportTo 直接写位置且未被 Hook）	player-life	trace:player/Player.PlayerAgent.TeleportTo;trace:player/Player.PlayerAgent.WarpTo;trace:player/Player.PlayerAgent.RequestWarpToSync;state:players.position	电梯、维度传送、warp 各一次	no	no	no	
player.on-spawn-membership	ForgeMap\evidence\player-life-facts.json $.capabilities[6].unverified	OnSpawn 返回时 agent 是否已在 PlayerAgentsInLevel（决定事实是否要延后回读）	player-life	trace:player/Player.PlayerAgent.Setup;state:players	开局与重生各读一次	no	no	no	
player.alive-while-downed	ForgeMap\evidence\player-observation.json $.unverified[alive-while-downed]	PlayerAgent.Alive 是否在整个倒地期间保持 true，只在死亡转换时清除	player-life	state:players.*.alive/downed	倒地、救起、死亡各读一次	no	no	no	
player.damage-owner-field	ForgeMap\evidence\player-observation.json $.unverified[damage-owner-field]	Dam_PlayerDamageBase.Owner 运行时是否始终是所属 PlayerAgent	player-life	state:players.*.damageOwner	受伤时读 Owner	no	no	no	
player.health-at-death	ForgeMap\evidence\player-observation.json $.unverified[health-at-death]	倒地或死亡时伤害基类持有的 Health 值	player-life	state:players.*.health+damage.health	倒地与死亡时读血量	no	no	no	
player.slot-index-agreement	ForgeMap\evidence\player-observation.json $.unverified[slot-index-stability]	PlayerAgent.PlayerSlotIndex 与 SNet_Player.PlayerSlotIndex 是否总是一致	player-life	state:players.*.slotIndex+trace:net/SNetwork.SNet_Player.PlayerSlotIndex	读每个玩家的两个槽位号	yes	no	no	
player.bot-slot-indices	ForgeMap\evidence\player-observation.json $.unverified[bot-slots]	bot 是否也占用槽位号、编号是否连续	player-life	state:players.*.slotIndex+isBot	带 bot 开局	no	no	no	
player.warp-apply-timing	ForgeMap\evidence\player-actions.json $.unverified[warp-apply-timing]	主机是否在 RequestWarpToSync 内同步应用 warp（立即回读位置是否已是落点）	player-warp	trace:player/Player.PlayerAgent.RequestWarpToSync;trace:player/Player.PlayerAgent.WarpTo;state:players.position	主机发一次 warp 并立即读位置	yes	no	no	
player.reality-dimension-assumption	ForgeMap\evidence\player-actions.json $.unverified[reality-dimension]	eDimensionIndex.Reality 是否总是关卡坐标所属维度	player-warp	state:players.*.dimensionIndex+trace:level/LevelGeneration.Dimension.GetDimensionFromPos	在现实维度读玩家坐标所属维度	no	no	no	
player.stealth-and-items	ForgeMap\evidence\player-observation.json $.unverified(stealth/items)	潜行状态、手持物、背包字段的运行时实际取值与观察列是否一致	player-life	state:players.*.backpack/ammo/heldItem	分别拿枪/工具/提灯读回	no	no	no	
item.bullet-collider-owner	ForgeMap\VALIDATION.md#30	ResolveEntityInstance("gtfo.map_object", 子弹碰撞体) 在实机是否真能解析出门与终端的既有地址（合成替身只证明逻辑）	item-hit	trace:objects/PlayerInteraction.*; probe	对门、终端、弱门开火	no	no	no	
terminal.catalog-copy-parity	ForgeMap\evidence\door-terminal-hooks.json $.unproven	终端命令白名单与 catalog 是否逐条对应（含隐藏/已用命令）	none	manual:需比对 catalog 与实机命令表，非游戏可证	无	no	no	no	
weapon.archetype-clone-live	ForgeWeapon\evidence\weapon-override-hooks.json $.unverified + $.inGameVerification	运行期通过 il2cpp_object_new 克隆 ArchetypeDataBlock 并反射调用无参构造，实机是否真的命中该构造	weapon-override	trace:weapon/GameData.ArchetypeDataBlock.*; state:weapons.*.archetypePointer	装一把子弹武器并施加 fire_rate 覆盖	yes	no	yes	
weapon.override-readback	ForgeWeapon\evidence\weapon-override-hooks.json $.inGameVerification	施加 fire_rate 覆盖后回读 m_archetypeData（必须是克隆）与 m_recoilData（必须非空），再开火确认间隔变化	weapon-override	trace:weapon/Gear.BulletWeapon.SetupArchetype;trace:weapon/Gear.BulletWeapon.Fire;state:weapons	开一梭子并对比间隔	no	yes	yes	
weapon.recoil-and-burst	ForgeWeapon\evidence\weapon-override-hooks.json $.inGameVerification	recoil 覆盖后镜头后坐与准星弹跳是否改变；burst_count 覆盖后 m_burstMax 与 BulletWeapon.m_burstMax 是否同步；弹匣满时改小默认弹匣的回读	weapon-override	trace:weapon/Weapon.ApplyRecoil;trace:weapon/Gear.BulletWeapon.Fire;state:weapons	对连发武器施加 burst_count 与 recoil 覆盖	no	yes	yes	
weapon.override-survives-gear-cycle	ForgeWeapon\evidence\weapon-override-hooks.json $.unverified	换手/收起/换弹后覆盖是否存活，强制重刷装备是否重放（OnGearSpawnComplete 链）	weapon-override	trace:weapon/ItemEquippable.OnGearSpawnComplete;trace:weapon/ItemEquippable.OnWield;trace:weapon/ItemEquippable.OnUnWield;trace:weapon/ItemEquippable.TryTriggerReloadAnimationSequence	换手、换弹、强制重刷装备	no	no	no	
weapon.override-cross-client-divergence	ForgeWeapon\evidence\weapon-override-hooks.json $.unverified	未应用的块交换是否会让客机之间出现可见分歧，准星是否每帧消费块	weapon-override	trace:weapon/Gear.BulletWeapon.Fire; net:SNetwork.SNet_Packet	两台机器各施加不同覆盖后对射	yes	yes	no	
weapon.fire-replay-consistency	ForgeWeapon\evidence\w4-player-fire.json $.unverified	一枪一计数：主机一枪与客机一枪是否在主机各产生恰好一次同步 Fire 体调用；重复链是否真的在实机跑	weapon-fire	trace:weapon/Gear.BulletWeapon.Fire;trace:weapon/ItemEquippable.OnSyncFire;net:SNetwork.SNet_Packet	主机与客机各开一枪并数 Fire 次数	yes	no	no	与 enemy.client-shot-host-replay 合并（同一链的两端）
weapon.firecount-semantics	ForgeWeapon\evidence\w4-player-fire.json $.unverified	FireCount/FireCountSync 是增量还是累计；GetSync 由谁按什么频率调用；bot 开火是否也走同步体	weapon-fire	trace:weapon/PlayerInventorySynced.GetSync;trace:weapon/ItemEquippable.OnSyncFire;state:weapons	连续开火并读回计数	yes	no	no	
weapon.hitdata-owner	ForgeWeapon\evidence\w4-combat-hooks.json $.unverified[weapon-hit-data-owner-assignment]	Weapon.WeaponHitData.owner 是否在 BulletHit 读取前被写成开火 agent	weapon-hit	trace:weapon/Weapon.CastWeaponRay;trace:weapon/Gear.BulletWeapon.BulletHit	命中敌人与门时读 owner	no	no	no	
weapon.client-shot-host-replay	ForgeWeapon\evidence\w4-combat-hooks.json $.unverified[client-shot-reaches-host]	客机开火是否让主机为该客机跑 Fire（进而 BulletHit）；BulletWeaponSynced.OnSyncFire 只转发给空实现	weapon-fire	trace:weapon/Gear.BulletWeapon.Fire;trace:weapon/Gear.BulletWeapon.BulletHit;net:SNetwork.SNet_Packet	客机开枪打中敌人	yes	no	no	与 weapon.fire-replay-consistency 合并
weapon.deployable-spawn-caller	ForgeWeapon\evidence\w4-deployable-hooks.json $.unverified[world-instance-creation-caller]	SentryGunFirstPerson.PlaceOnGround 之后由哪个原生调用者创建世界 SentryGunInstance（OnSpawn 无字面调用者）	weapon-deployable	trace:weapon/SentryGunInstance.OnSpawn;trace:weapon/SentryGunInstance.Setup;trace:weapon/SentryGunInstance.OnGearSpawnComplete	放下哨戒炮并读栈	no	no	no	
weapon.deployable-level-change-path	ForgeWeapon\evidence\w4-deployable-hooks.json $.unverified[level-change-path]	换关销毁部署实例走 OnDespawn、OnDestroy 还是固定顺序的二者；CleanUp 的位置	weapon-deployable	trace:weapon/SentryGunInstance.OnDespawn;trace:weapon/SentryGunInstance.OnDestroy;trace:weapon/SentryGunInstance.CleanUp;trace:weapon/MineDeployerInstance.OnDestroy	放下哨戒炮与绊雷后换关	no	no	no	
weapon.deployable-replicator-order	ForgeWeapon\VALIDATION.md#47	复制器工厂是否真的早于同一复制操作的 spawn 回调（读位置不对说明顺序相反）	weapon-deployable	trace:weapon/SentryGunInstance.OnSpawn;state:deployables.position	主机放置与客机放置各一次	yes	no	no	
weapon.deployable-position-drift	ForgeWeapon\VALIDATION.md#47	部署物是否会被 GroundOffset 或其他机制在 spawn 之后挪动；pGearSpawnData.position 与实际落地点偏差	weapon-deployable	trace:weapon/SentryGunInstance.OnSpawn;trace:weapon/MineDeployerInstance.OnSpawnData;state:deployables.position	在斜面、箱顶、台阶上放置	no	no	no	
weapon.deployable-owner-timing	ForgeWeapon\VALIDATION.md#55	SentryGunInstance.Owner / MineDeployerInstance.Owner 在 OnSpawn 时刻是否可用	weapon-deployable	state:deployables.*.Owner; trace:weapon/SentryGunInstance.OnSpawn	放置后立即读 Owner	no	no	no	
weapon.sentry-turn-cadence	ForgeWeapon\evidence\deployable-life-facts.json $.unverified[synced-turn-on-cadence]	SyncedTurnOn/SyncedTurnOff 对一台哨戒炮跑多少次、召回前是否发一次关	weapon-deployable	trace:weapon/SentryGunInstance.SyncedTurnOn;trace:weapon/SentryGunInstance.SyncedTurnOff;trace:weapon/SentryGunInstance.SyncedPickup	部署、召回、换关各一次并计数	no	no	no	
weapon.deployable-place-refusal	ForgeWeapon\evidence\deployable-life-facts.json $.unverified[check-can-place-internals]	CheckCanPlace 对哪些具体条件拒绝（无地面、被占、太陡、禁放区）	weapon-deployable	trace:weapon/SentryGunFirstPerson.*; state:deployables.*.canPlace	在各类地形上尝试放置	no	yes	no	
weapon.deployable-target-cadence	ForgeWeapon\evidence\deployable-life-facts.json $.unverified[target-selection-cadence]	UpdateDetection 多久跑一次、按什么选目标	weapon-deployable	trace:weapon/SentryGunInstance.UpdateMaster;trace:weapon/SentryGunInstance.UpdateClient;trace:weapon/SentryGunInstance.StartScanning;trace:weapon/SentryGunInstance.StopScanning	让哨戒炮扫描并开火	no	no	no	
weapon.deployable-part-animation	ForgeWeapon\evidence\w6-gear-parts.json limits + VALIDATION.md#104	GearPartHolder 自己的 Update 是否会把被写入的部件拉回原位；OnAllPartsSpawned 派发点未解出	weapon-deployable	trace:weapon/ItemEquippable.OnGearSpawnComplete; state:weapons.*.partTransforms	改部件位置后长时间观察	no	yes	no	
weapon.thrown-instance-identity	ForgeWeapon\evidence\throw-facts.json $.unverified[thrown-world-instance-identity]	投掷物的世界实例如何创建、是否有东西把它与释放用的装备生命关联	weapon-throw	trace:weapon/ThrowingWeapon.*; state:thrownItems.*	投一颗手雷并追踪实例	no	no	no	
weapon.throw-release-fields	ForgeWeapon\evidence\throw-facts.json $.unverified[throw-release-byte-state]	释放是否也表现为字段翻转（m_hasThrown / m_inThrowRelease），而不是只有方法体跑过	weapon-throw	trace:weapon/ThrowingWeapon.Throw;state:weapons	投掷前后读两个字段	no	no	no	
weapon.reload-sync-status	ForgeWeapon\evidence\reload-facts.json $.unverified	PlayerInventorySynced.m_equipStatus 在非持有机器上是否读到 Reload；pItemData_Custom.byteState 枚举含义；TryTriggerReloadAnimationSequence 返回值语义	weapon-reload	trace:weapon/PlayerInventorySynced;trace:weapon/ItemEquippable.TryTriggerReloadAnimationSequence;trace:weapon/ItemEquippable.TryStartAnimationSequenceCoroutine	换弹并在两台机器读状态	yes	no	no	
weapon.host-write-remote-reload	ForgeWeapon\evidence\reload-facts.json $.unverified	主机侧写是否到达 PlayerInventoryLocal 或 PlayerInventorySynced（远程玩家的换弹）	weapon-reload	trace:weapon/PlayerInventoryLocal;trace:weapon/PlayerInventorySynced;net:SNetwork.SNet_Packet	主机对远程玩家触发换弹	yes	no	no	
weapon.semiauto-burst-members	ForgeWeapon\evidence\weapon-attack-instance.json $.hostVisibility.unverified	BWA_SemiBurst 继承的 OnStartFiring/OnStopFiring 是否不被走到、空弹匣是否不留原生痕迹；空弹匣成员是否每次空扣都跑	weapon-fire	trace:weapon/Gear.BulletWeapon.OnStartFiring;trace:weapon/Gear.BulletWeapon.OnStopFiring;trace:weapon/Gear.BulletWeapon.Fire	用连发武器空扣	no	no	no	
weapon.vtable-recoil-member	ForgeWeapon\evidence\weapon-override-hooks.json $.unverified	BulletWeapon.Update 与 Weapon.ApplyRecoil 在 +0x520 取的 vtable 成员身份未解，但两条路径都落到同一个块类型	weapon-override	trace:weapon/Weapon.ApplyRecoil;state:weapons	开火时读 recoil 数据块	no	no	no	
weapon.offline-gear-id-prefix	ForgeWeapon\VALIDATION.md#186,#213	OfflineGear_ID_ 前缀在别的构建里是否改变；游戏是否对每条装备路径都保留 BackpackItem.GearIDRange	weapon-identity	trace:weapon/ItemEquippable.OnGearSpawnComplete;state:weapons	读每个槽位的 gearIDRange	no	no	no	
weapon.gear-block-inheritance	ForgeWeapon\VALIDATION.md#213	挂载只对生命生效、部署出去的世界实例不匹配是否是策展方想要的口径	none	manual:需 Claude 判口径，非游戏可证	无	no	no	no	
player.health-pool-client-view	ForgeTrigger\evidence\damage-rewrite-native.json $.inGameConfirmations[0]	护盾池的吸收对客机是否可见（池是主机侧 Forge 状态，客机血条只显示接收器应用的值）	trigger-damage	trace:damage/Dam_PlayerDamageBase.ReceiveAddHealth;net:SNetwork.SNet_Packet;state:players.health	主机给客机加护盾池后打伤	yes	yes	no	
player.execute-limb-multiplier	ForgeTrigger\evidence\damage-rewrite-native.json $.inGameConfirmations[1]	处决抬高的伤害是否以敌人接收器自己的部位倍率落地为击杀	trigger-damage	trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage;trace:damage/Dam_EnemyDamageLimb;state:enemies	对敌人处决	no	no	no	
trigger.reflect-rewrite-depth	ForgeTrigger\evidence\damage-rewrite-native.json $.inGameConfirmations[2]	反射给攻击者的份额是否带着 RewriteDepth+1 重入改写阶段（reflect 规则的 max_depth 界）	trigger-damage	trace:damage/Dam_EnemyDamageBase.ProcessReceivedDamage;trace:damage/Dam_PlayerDamageBase.ReceiveAddHealth	让两个玩家互相反射伤害	yes	no	no	
trigger.pending-submission-scope	ForgeTrigger\evidence\damage-rewrite-native.json $.inGameConfirmations[3]	内核为 reflect / damage_redirect / hit_cancel 转换的 pending 句柄是否带提交的作用域（行按此匹配）	trigger-damage	manual:内核改写提交的作用域只能由 ForgeTrigger 自己的证据确认，不进游戏采集	分别触发三类改写	no	no	no	
runtime.warp-then-scene-cleanup	ForgeRuntime\VALIDATION.md#21	原生执行、游戏、多人、恢复未验证：内核帧与词表在实机是否按声明运行	runtime-core	trace:level/GameStateManager.ChangeState; state:session.*	进关、退关、再进关	yes	no	no	
runtime.log-managed-thread	ForgeRuntime\VALIDATION.md#38	游戏内从后台线程调用 ManualLogSource 是否安全、真实退出时序、强杀时丢失的队列与最后一行 log.dropped	runtime-log	state:session	正常退出与强杀各一次并读 rec 目录尾行	no	no	no	
runtime.manual-source-thread	ForgeRuntime\VALIDATION.md#346	同上：领域包记录点与内核记录点在实机的行为、强杀丢行	runtime-log	state:session	强杀进程后清点分段文件	no	no	no	
runtime.host-migration	ForgeRuntime\evidence\session-facts.json	主客机、迟加入与检查点恢复的整体行为（宿主自身未在实机验证）	runtime-core	trace:net/SNetwork.SNet_SyncManager.OnFoundNewMasterDuringMigration;trace:net/SNetwork.SNet_SyncManager.StartRecallWithAllSyncedPlayers;state:players	让房主退出触发迁移并恢复	yes	no	no	
runtime.native-detour-safety	ForgeRuntime\VALIDATION.md#204	原生 detour 行为与真实加载组合未验证（本插件未加载过游戏）	runtime-core	state:session	在一台实机装模组进关	no	no	no	
development.chainloader-load	ForgeDevelopment\VALIDATION.md#47	真实 BepInEx/IL2CPP chainloader 是否按声明加载本插件、三种安装状态的游戏内结果	development	state:session	分别以 Off/Play/Authoring 三次启动	no	no	no	
development.native-hook-safety	ForgeDevelopment\VALIDATION.md#47	原生 Hook 是否真正执行与 detour 是否安全；GC 之后的原生 callback	development	state:session	进关跑一遍并读 tracer 溢出计数	no	no	no	
development.collector-overhead	ForgeDevelopment\VALIDATION.md#47	采集在主线程上的开销、两次进出图与切关后的残留	development	exp:runtime-overhead.json	连续进图退图两次并读开销	no	no	no	
development.checkpoint-and-client	ForgeDevelopment\VALIDATION.md#47	主客机、迟加入与检查点恢复下的采集完整性	development	state:session;net:SNetwork.SNet_SyncManager	主机采样时客机中途加入并回检查点	yes	no	no	
development.stop-phase-list	ForgeDevelopment\VALIDATION.md#47	RuntimeDiagnostics.Stop() 的真实阶段列表（监听器反注册、gchandle 释放、最终导出与 writer 释放）；每个阶段开始时由收尾序列写进会话，进程结束后读回（会话在 recorder 阶段关闭，writer 释放由分段文件的收尾证明）	development	trace:session/shutdown_stage	正常退出游戏并读会话尾部的 shutdown_stage 记录	no	no	no	
development.module-reachability	ForgeDevelopment\evidence\dev-module-hooks.json $.unverified	作者会话是否真的能从作者计划到达（合成夹具只证明行本身）；由内核自己写的作者会话记录回答，不用实验命令	development	trace:forge/kernel;state:forge.*	在 Authoring 模式装载一个作者计划	no	no	no	
development.catalog-member-names	ForgeDevelopment\evidence\dev-module-hooks.json $.unverified	catalog 仍把会话句柄种类写成 subscription、断言策略写成 report/halt，与站点行差两个成员	none	manual:需 Claude 判 catalog 批次，非游戏可证	无	no	no	no	
development.snapshot-field-projection	ForgeDevelopment\evidence\dev-module-hooks.json $.unverified	inspect 的 fields 投影只列实体观察契约自己的列，新增强快照字段要同步扩展	none	manual:代码侧投影清单，非游戏可证	无	no	no	no	
enemy.spawn-requirement-source	ForgeEnemy\VALIDATION.md#357	EnemySpawnRequirementSource 的运行期时点与 MTFO 注入行是否已在表里	enemy-spawn-space	state:datablocks	装 MTFO 并进关读表	no	no	yes	与 enemy.runtime-requirement-table-build 合并
weapon.identity-mount-scope	ForgeWeapon\VALIDATION.md#213	挂载口径是否只对生命生效（部署出去的世界实例不匹配）是否策展方想要的	none	manual:需 Claude 判口径	无	no	no	no	
gamedata.datablock-dump	dev-rec-capture 任务书 §2 数据块	关卡开始时把本关实际用到的数据块完整导出一次（GameDataBlockBase 全部已加载类型，带 persistentID）	level-progression	state:datablocks.*	任意进一关	no	no	yes	与 state:datablocks.* 的行共用同一份导出
snapshot.f7-manual	dev-rec-capture 任务书 §2 快照时机	玩家按 F7 触发全量快照（由 core 调用 SnapshotAll）	snapshot	state:snapshot	任意时刻按 F7	no	no	no	
snapshot.every-30s	dev-rec-capture 任务书 §2 快照时机	默认每 30 秒一次低频快照，可配置	snapshot	state:snapshot.periodic	挂机 2 分钟	no	no	no	
snapshot.trigger-matrix	dev-rec-capture 任务书 §2 快照时机	进入关卡、关卡生成完成、检查点保存与恢复、维度切换、主机迁移、玩家加入/离开、关卡结束各触发一次快照	snapshot	state:snapshot	跑完一关并中途触发各事件	yes	no	no	
changes.door-generator-player-enemy-objective	dev-rec-capture 任务书 §2 变化侦测	门、发电机、玩家生命状态、敌人 AI 状态、目标状态的每帧低成本对比写 changes，并给出每帧预算	changes	state:changes.*（含字段级 diff 与每帧比较次数）	正常玩一关	no	no	no	
net.local-fact-reaches-host	dev-rec-capture 任务书 §3 网络	客户端本机事实有没有到主机：两台机器都开开发模组，用 rec-merge 对齐	net-pairing	trace:net/SNetwork.SNet_SyncManager.OnPlayerJoinedSessionHub;net:SNetwork.SNet_Packet;net:SNetwork.SNet_Player	客机上改一个门/终端/发电机状态，主机读回	yes	no	no	与 net.same-state-change 互为配对
net.packet-size-and-channel	dev-rec-capture 任务书 §3 网络	每个收发包的类型、大小、发送方槽位、通道；状态复制器状态结构体整体序列化	net-pairing	trace:net/SNetwork.SNet_Packet.ReceiveBytes;trace:net/SNetwork.SNet_Packet.Setup;state:session	一局正常游戏	yes	no	no	
weapon.clip-write-replication	dsh\nl-weapon.out.md#六、已知遗留	SetCurrentClip 写弹匣是否自带复制：主机写是否到达客机、客机写是否被主机接受	weapon-fire	trace:weapon/ItemEquippable.SetCurrentClip;net:SNetwork.SNet_Packet	主机与客机各打空一个弹匣并读回弹匣数	yes	no	no	
weapon.owner-session-endpoint-slot	dsh\nl-weapon.out.md#六、已知遗留	主机的会话 id 是否是 endpoint 槽该带的那个（装备生命与会话槽的对应）	weapon-identity	state:weapons.*.ownerSession;net:SNetwork.SNet_Player	主机与客机各挂一把武器并读回会话槽	yes	no	no	
weapon.client-deployable-firemaster	dsh\nl-weapon.out.md#六、已知遗留	客机放的哨戒炮 UpdateFireMaster 是否在主机跑（主机是否驱动客机部署物的开火）	weapon-deployable	trace:weapon/SentryGunInstance.UpdateMaster;net:SNetwork.SNet_Packet;state:deployables.*	客机放哨戒炮并让它开火，主机读 trace	yes	no	no	
weapon.melee-hit-state-name	dsh\nl-weapon2.out.md#七、已知遗留	命中入口处武器状态是否确为四个命中态之一（错了只会丢 charged 端口，不会发假值）	weapon-hit	trace:weapon/Gear.MeleeWeaponFirstPerson;state:weapons.*.currentState	近战武器命中敌人并读状态	no	no	no	
weapon.melee-multi-enemy-swing	dsh\nl-weapon2.out.md#七、已知遗留	一次挥击打中多个敌人是否恰好每个一次（不重复不遗漏）	weapon-hit	trace:damage/Dam_EnemyDamageBase.MeleeDamage;trace:weapon/Gear.MeleeWeaponFirstPerson	对两只重叠敌人挥一次	no	no	no	
weapon.bot-charged-melee	dsh\nl-weapon2.out.md#七、已知遗留	bot 的蓄力打击能否用 IsWeaponThirdPerson.IsCharging 区分（第三人称路径的 charged 目前一律缺席）	weapon-hit	trace:weapon/Gear.MeleeWeaponThirdPerson;state:weapons.*.isCharging	让 bot 近战敌人并读第三人称武器状态	no	no	no	
weapon.client-placed-deployable-host-link	dsh\nl-deploy.out.md#规格歧义与我采用的解释（需复核）	客机放的哨戒炮/绊雷复制到主机后能否解析到同一条装备生命（HandleOf 的实例指针优先、owner+IsDeployed 回退）	weapon-deployable	trace:weapon/SentryGunInstance.OnSpawn;trace:weapon/MineDeployerInstance.OnSpawn;net:SNetwork.SNet_Packet;state:deployables.*	客机放哨戒炮与绊雷，主机读回两条生命	yes	no	no	
env.world-event-replication	dsh\nl-env.out.md#必须进游戏验证的点	从模组调用 WorldEventManager.ExecuteEvent 是否与关卡数据调用一样被复制（灯/雾/标记/动画）	level-progression	trace:level/WorldEventManager.ExecuteEvent;net:SNetwork.SNet_Packet	主机与客机各发一次世界事件并看表现	yes	yes	no	
env.event-audio-per-client	dsh\nl-env.out.md#必须进游戏验证的点	PlaySound 与 DialogueOnClosest 事件是每客户端执行还是只主机执行	level-progression	trace:level/WorldEventManager.ExecuteEvent;state:datablocks	两台机器各发一次音效/语音事件并比对	yes	no	no	
env.lights-in-zone-absent-args	dsh\nl-env.out.md#必须进游戏验证的点	LightsInZone 事件在 Position/Count 缺席时的语义（原版总是两者都填）	level-progression	trace:level/WorldEventManager.ExecuteEvent;state:zones.*.lights	只填部分参数发 LightsInZone 并读回灯状态	no	yes	no	
env.sustained-event-stop	dsh\nl-env.out.md#必须进游戏验证的点	StopSustainedEvent（原版 0 处使用）能否真的停掉循环雾	level-progression	trace:level/WorldEventManager.ExecuteEvent;state:datablocks	开循环雾再发停止事件并截图	no	yes	yes	
env.fog-id-and-say-slot	dsh\nl-env.out.md#必须进游戏验证的点	WantToSay 的 slot 语义、FogSetting persistentID 的取值表	level-progression	trace:level/WorldEventManager.ExecuteEvent;state:datablocks	用不同 slot 发言、用不同雾 id 设雾并读回	no	no	yes	
env.tmp-clone-vs-resource-hud	dsh\nl-env.out.md#必须进游戏验证的点	screen 克隆文本的几何、隐藏状态（Tab/终端/倒地/分辨率切换）与 InfiniTweaks 资源行同时开启时是否打架	hud-text	trace:gui/PUI_GameObjectives.SetCustomSubText;state:gui.tmpTexts	同开 InfiniTweaks 后刷新子目标文本并截图	no	yes	no	与 hud.custom-subtext-reflow 合并
query.course-node-presence	dsh\nl-query.out.md#必须进游戏验证的点	真实关卡里玩家全程有 CourseNode、主机侧敌人有 CourseNode（区域应答的前提）	zone-identity	state:players.*.courseNode;state:enemies.*.courseNode	进一关读玩家与敌人的 CourseNode	no	no	no	
query.zone-coordinate-collision	dsh\nl-query.out.md#必须进游戏验证的点	zone 坐标在真实关卡里能否稳定标识一个区域（同层两 zone 撞坐标时 ZoneAt 会判为无主）	zone-identity	state:zones.*.position;trace:level/LevelGeneration.LG_Zone	逐区读坐标并比对	no	no	yes	
query.tick-budget-saturation	dsh\nl-query.out.md#必须进游戏验证的点	每 tick 预算在整张候选集上的表现：64 查询/tick、256 引用/查询，256 个候选正好用满一次上限	zone-identity	state:forge.*;state:session.*	在候选密集的房间反复调用区域查询	no	no	no	
player.client-hit-accept-path	dsh\nl-player.out.md#必须进游戏验证的点	客机被打时主机的 accept 路径是否发布、各 receive 入口到 kind 的映射	player-health	trace:damage/Dam_SyncedDamageBase.ReceiveAddHealth;trace:damage/Dam_PlayerDamageBase.ReceiveAddHealth;net:SNetwork.SNet_Packet;state:players.health	客机被敌人打伤，主机读 trace	yes	no	no	
player.send-set-dead-state	dsh\nl-player.out.md#必须进游戏验证的点	SendSetDead(true) 到底落在倒地还是死亡态	player-life	trace:damage/Dam_SyncedDamageBase.SendSetDead;state:players.*.alive	主机对玩家发 set_dead 并读回状态	yes	no	no	
player.revive-clears-downed	dsh\nl-player.out.md#必须进游戏验证的点	PlayerReviveAction 能否通过原生校验并清掉 Downed	player-life	trace:objects/Interact_Revive;trace:player/Player.PlayerLocomotion.ChangeState;state:players.*.downed	救起一名倒地玩家并读回 Downed	yes	no	no	
player.infection-delta-scale	dsh\nl-player.out.md#必须进游戏验证的点	ModifyInfection 的 delta 量纲（正负号与实际感染值变化）	player-health	trace:damage/Dam_PlayerDamageBase.ModifyInfection;state:players.*.infection	用不同 delta 改感染值并读回	no	no	no	
player.low-health-machine	dsh\nl-player.out.md#必须进游戏验证的点	player_low_health 在哪台机器发布（值所属玩家还是主机）	player-health	trace:player/Player.PlayerAgent;net:SNetwork.SNet_Packet;state:players.health	主机与客机各自低血并读发布端	yes	no	no	
player.ping-reaches-host	dsh\nl-player.out.md#必须进游戏验证的点	两机 Ping 是否到达主机（终端 Ping 与 HUD Ping 两个入口）	terminal	trace:door-terminal/LevelGeneration.LG_TERM_Ping.Ping;trace:gui/GuiManager.AttemptSetPlayerPingStatus;net:SNetwork.SNet_Packet	客机用两个入口各 Ping 一次	yes	no	no	
